ticker,month,total_return_pct,source,fetched_at
SMH,2013-05,3.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2013-06,-1.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2013-07,2.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2013-08,-3.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2013-09,7.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2013-10,3.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2013-11,0.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2013-12,3.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-01,-1.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-02,6.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-03,4.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-04,-2.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-05,3.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-06,6.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-07,-1.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-08,6.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-09,-1.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-10,0.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-11,8.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2014-12,-1.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-01,-2.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-02,8.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-03,-2.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-04,0.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-05,7.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-06,-8.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-07,-4.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-08,-5.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-09,0.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-10,8.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-11,2.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2015-12,-4.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-01,-4.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-02,1.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-03,9.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-04,-4.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-05,8.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-06,0.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-07,11.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-08,4.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-09,4.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-10,-1.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-11,4.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2016-12,0.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-01,4.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-02,2.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-03,4.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-04,-0.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-05,7.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-06,-4.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-07,4.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-08,3.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-09,5.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-10,8.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-11,-1.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2017-12,-2.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-01,10.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-02,0.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-03,-2.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-04,-6.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-05,10.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-06,-4.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-07,3.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-08,2.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-09,-2.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-10,-12.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-11,3.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2018-12,-9.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-01,12.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-02,7.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-03,2.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-04,9.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-05,-15.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-06,12.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-07,6.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-08,-2.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-09,4.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-10,7.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-11,4.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2019-12,6.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
